id,y_true,y_pred,absolute_error
1734089817.333229,97.0,106.35234546947197,9.35234546947197
1734089822.347572,302.0,150.64745096956335,151.35254903043665
1734089827.363006,257.0,226.77710220275642,30.222897797243576
1734089832.371332,118.0,103.07811228303234,14.92188771696766
1734089837.383353,88.0,104.57638949869414,16.57638949869414
1734089842.390988,124.0,176.64745114783543,52.647451147835426
1734089847.403055,202.0,142.3109206622482,59.68907933775179
1734089852.415645,52.0,61.12866809465129,9.128668094651289
1734089857.431015,303.0,263.26980544190866,39.73019455809134
1734089862.442605,220.0,211.8592093316652,8.140790668334802
1734089867.455573,94.0,97.80444810874128,3.8044481087412834
1734089872.471063,263.0,262.29490516144904,0.7050948385509628
1734089877.487869,68.0,120.33395775259487,52.33395775259487
1734089882.501015,73.0,152.38094687603638,79.38094687603638
1734089887.513706,283.0,189.19199075072257,93.80800924927743
1734089892.524466,83.0,123.83433596242708,40.834335962427076
1734089897.539904,65.0,99.73762487848882,34.737624878488816
1734089902.555301,219.0,140.02257609736603,78.97742390263397
1734089907.568998,241.0,191.89112987172945,49.10887012827055
1734089912.58101,230.0,139.54441925319114,90.45558074680886
1734089917.593849,168.0,142.21016842584348,25.789831574156523
1734089922.605652,102.0,106.92918500252972,4.929185002529721
